YEAR,STATEFIP,RPP
1976,47,88.34011836
1975,47,88.29207258
1974,47,88.24478151
1973,47,88.19820166
1972,47,88.15229967
1971,47,88.10704964
2019,46,87.9
2018,46,88.5
2017,46,88.3
2016,46,88
2015,46,88
2014,46,88
2013,46,88.9
2012,46,87.3
2011,46,86.9
2010,46,85.8
2009,46,86.9
2008,46,87.1461097
2007,46,87.21628757
2006,46,87.04131027
2005,46,87.33575433
2004,46,87.35634507
2003,46,87.33176143
2002,46,87.26856242
2001,46,87.0124303
2000,46,86.90046288
1999,46,86.79944465
1998,46,86.70832612
1997,46,86.62651237
1996,46,86.55374423
1995,46,86.49001044
1994,46,86.43548288
1993,46,86.39046867
1992,46,86.35537478
1991,46,86.33068196
1990,46,86.30932467
1989,46,86.28425211
1988,46,86.25639655
1987,46,86.22642679
1986,46,86.19481703
1985,46,86.16189774
1984,46,86.12789325
1983,46,86.09294953
1982,46,86.05715463
1981,46,86.02055385
1980,46,85.98169519
1979,46,85.93988805
1978,46,85.89625094
1977,46,85.85170801
1976,46,85.80703985
1975,46,85.76292103
1974,46,85.71994785
1973,46,85.67865876
1972,46,85.63954951
1971,46,85.60308433
2019,45,91.1
2018,45,90.7
2017,45,90.7
2016,45,90.3
2015,45,90
2014,45,90.5
2013,45,90.8
2012,45,90.8
2011,45,90.4
2010,45,91.5
2009,45,91.1
2008,45,90.40859365
2007,45,90.46259119
2006,45,90.33805512
2005,45,90.49835047
2004,45,90.38849597
2003,45,90.32614434
2002,45,90.30412774
2001,45,90.23757164
2000,45,90.14687702
1999,45,90.052213
1998,45,89.95571964
1997,45,89.85927145
1996,45,89.7645468
1995,45,89.67307923
1994,45,89.5862953
1993,45,89.50554259
1992,45,89.43211031
1991,45,89.3672446
1990,45,89.30817366
1989,45,89.25068343
1988,45,89.19419282
1987,45,89.13818352
1986,45,89.08218365
1985,45,89.02575557
1984,45,88.96848698
1983,45,88.90998423
1982,45,88.8498675
1981,45,88.78776715
1980,45,88.72672885
1979,45,88.66976018
1978,45,88.61628653
1977,45,88.56587315
1976,45,88.51818856
1975,45,88.47297754
1974,45,88.4300412
1973,45,88.38922228
1972,45,88.35039419
1971,45,88.31345307
2019,44,99.3
2018,44,99.2
2017,44,100.6
2016,44,99.9
2015,44,99.8
2014,44,98.8
2013,44,98.8
2012,44,99.4
2011,44,99.1
2010,44,100
2009,44,100.2
2008,44,99.82828571
2007,44,99.80945089
2006,44,99.2598013
2005,44,99.26742787
2004,44,99.05144186
2003,44,98.69074552
2002,44,98.61996473
2001,44,98.69796199
2000,44,98.73073439
1999,44,98.74429704
1998,44,98.74275884
1997,44,98.72904278
1996,44,98.70519604
1995,44,98.67261898
1994,44,98.63223427
1993,44,98.58461179
1992,44,98.53006088
1991,44,98.46869847
1990,44,98.38736175
1989,44,98.27873548
1988,44,98.15139601
1987,44,98.01240759
1986,44,97.86771774
1985,44,97.72244929
1984,44,97.58111594
1983,44,97.4477816
1982,44,97.32617795
1981,44,97.21979134
1980,44,97.13167999
1979,44,97.06101154
1978,44,97.00572144
1977,44,96.96426513
1976,44,96.93548205
1975,44,96.91849523
1974,44,96.91263716
1973,44,96.917395
1972,44,96.93237016
1971,44,96.9572484
2019,42,97.5
2018,42,97.6
2017,42,98.1
2016,42,98.2
2015,42,98.1
2014,42,98.6
2013,42,98.4
2012,42,98.4
2011,42,98.5
2010,42,98.2
2009,42,98.2
2008,42,98.07989478
2007,42,98.02336473
2006,42,97.92081372
2005,42,98.05755517
2004,42,97.96484303
2003,42,97.83557061
2002,42,97.87299673
2001,42,97.65664137
2000,42,97.61562775
1999,42,97.57128823
1998,42,97.52419651
1997,42,97.47469907
1996,42,97.42297463
1995,42,97.36907799
1994,42,97.31297244
1993,42,97.25455369
1992,42,97.19366753
1991,42,97.13012289
1990,42,97.06519519
1989,42,97.0003662
1988,42,96.93562191
1987,42,96.87095791
1986,42,96.80637691
1985,42,96.74188688
1984,42,96.67749963
1983,42,96.61322987
1982,42,96.5490944
1981,42,96.48511158
1980,42,96.42335165
1979,42,96.36556009
1978,42,96.311214
1977,42,96.25992124
1976,42,96.21138628
1975,42,96.16538491
1974,42,96.1217456
1973,42,96.08033572
1972,42,96.04105138
1971,42,96.00380992
2019,41,101.1
2018,41,100.5
2017,41,100.5
2016,41,98.5
2015,41,98.8
2014,41,98.9
2013,41,98.7
2012,41,98.5
2011,41,98.5
2010,41,98.9
2009,41,98.3
2008,41,98.13140159
2007,41,97.9855686
2006,41,97.85430775
2005,41,98.0293086
2004,41,97.88549444
2003,41,98.0538508
2002,41,97.86000744
2001,41,97.68533159
2000,41,97.53380647
1999,41,97.40871133
1998,41,97.30412329
1997,41,97.21549983
1996,41,97.13931789
1995,41,97.07280727
1994,41,97.01375383
1993,41,96.96035405
1992,41,96.91110769
1991,41,96.86473847
1990,41,96.81762011
1989,41,96.76740206
1988,41,96.71488671
1987,41,96.66066226
1986,41,96.60515877
1985,41,96.54868951
1984,41,96.49148146
1983,41,96.43369792
1982,41,96.37545512
1981,41,96.31683455
1980,41,96.25803225
1979,41,96.19922843
1978,41,96.14044355
1977,41,96.08169257
1976,41,96.0229864
1975,41,95.96433296
1974,41,95.90573795
1973,41,95.84720543
1972,41,95.78873825
1971,41,95.7303384
2019,40,88.4
2018,40,88.6
2017,40,88.7
2016,40,89.8
2015,40,89.5
2014,40,90
2013,40,89.9
2012,40,89.6
2011,40,89.6
2010,40,89.5
2009,40,88.9
2008,40,89.30559183
2007,40,89.2515357
2006,40,89.11762681
2005,40,89.26094083
2004,40,89.20303718
2003,40,89.17687272
2002,40,89.32159638
2001,40,89.01878166
2000,40,88.94465162
1999,40,88.87247261
1998,40,88.80272098
1997,40,88.73586705
1996,40,88.67237661
1995,40,88.61271217
1994,40,88.55733375
1993,40,88.5066996
1992,40,88.46126662
1991,40,88.42149072
1990,40,88.38358015
1989,40,88.34363432
1988,40,88.30216136
1987,40,88.25952471
1986,40,88.21598091
1985,40,88.17170761
1984,40,88.12682416
1983,40,88.08140686
1982,40,88.03550022
1981,40,87.98912529
1980,40,87.93959004
1979,40,87.88541467
1978,40,87.82838793
1977,40,87.76999251
1976,40,87.71148506
1975,40,87.65395525
1974,40,87.59836948
1973,40,87.54560308
1972,40,87.49646416
1971,40,87.45171113
2019,39,88.4
2018,39,88.9
2017,39,89.1
2016,39,89.2
2015,39,89.4
2014,39,89.5
2013,39,89.4
2012,39,89.7
2011,39,89.8
2010,39,89.3
2009,39,90
2008,39,89.7259175
2007,39,89.63095911
2006,39,89.55573438
2005,39,89.52901699
2004,39,89.51259468
2003,39,89.41037968
2002,39,89.44120897
2001,39,89.12553522
2000,39,89.09653557
1999,39,89.06348334
1998,39,89.02700313
1997,39,88.98744017
1996,39,88.94493338
1995,39,88.89946933
1994,39,88.85092202
1993,39,88.79908239
1992,39,88.74367997
1991,39,88.68439898
1990,39,88.62318141
1989,39,88.56226189
1988,39,88.50157401
1987,39,88.44107425
1986,39,88.38073603
1985,39,88.32054523
1984,39,88.26049699
1983,39,88.20059324
1982,39,88.14084097
1981,39,88.08125086
1980,39,88.02389101
1979,39,87.97052431
1978,39,87.92064875
1977,39,87.87389095
1976,39,87.82997255
1975,39,87.78868532
1974,39,87.74987288
1973,39,87.71341709
1972,39,87.67922809
1971,39,87.64723686
2019,38,90.6
2018,38,90.4
2017,38,91.4
2016,38,92
2015,38,91.6
2014,38,91.7
2013,38,91
2012,38,89.7
2011,38,89.2
2010,38,89
2009,38,88.5
2008,38,89.69958655
2007,38,89.4469419
2006,38,89.42419362
2005,38,89.70995816
2004,38,89.58915337
2003,38,89.59829554
2002,38,89.67937522
2001,38,89.66492672
2000,38,89.58919025
1999,38,89.50050156
1998,38,89.40483349
1997,38,89.30728024
1996,38,89.21228711
1995,38,89.12382018
1994,38,89.04549161
1993,38,88.98065218
1992,38,88.93245963
1991,38,88.90392914
1990,38,88.88621082
1989,38,88.86790079
1988,38,88.84894022
1987,38,88.82917698
1986,38,88.80838997
1985,38,88.78630722
1984,38,88.76261914
1983,38,88.73698841
1982,38,88.70905716
1981,38,88.6784524
1980,38,88.6397544
1979,38,88.59060448
1978,38,88.53505059
1977,38,88.47645228
1976,38,88.41766062
1975,38,88.36115121
1974,38,88.30912232
1973,38,88.26356743
1972,38,88.22632875
1971,38,88.19913681
2019,37,91.8
2018,37,91.6
2017,37,91.3
2016,37,91.2
2015,37,91.4
