5p,15p,25p,35p,45p,50p,55p,65p,75p,85p,95p
8895.591935999999,17649.984,27004.47552,39712.464,44976.571727999995,49861.2048,59639.295935999995,71041.18559999998,90456.16799999999,113268.77231999999,164586.1008
8886.766943999999,17950.033728,31769.971199999996,41049.450288,47037.20735999999,51004.041264,55098.837552,71808.95990399999,88249.92,118140.16790399999,164586.1008
9288.304079999998,20738.7312,34086.531599999995,42055.499376,48546.28099199999,51626.203199999996,58853.87164799999,68040.68832,81631.17599999999,113268.77231999999,161497.3536
9164.754192,19167.882623999998,30931.596959999995,40594.9632,46432.695408,49861.2048,55835.724383999994,66187.44,82213.625472,115122.02064,161497.3536
8895.591935999999,19856.232,30887.471999999998,39346.22683199999,46600.370255999995,48634.530911999995,55098.837552,65750.602896,80991.36408,110149.137648,174739.254096
8886.766943999999,17649.984,30865.409519999997,39712.464,45514.896239999995,48144.743855999994,52994.07695999999,66187.44,80991.36408,118307.84275199998,179513.574768
7412.99328,17244.034367999997,25989.601439999995,39103.539551999995,44124.96,47037.20735999999,51004.041264,64863.691199999994,80991.36408,118307.84275199998,183162.70896
7205.605968,16604.222448,27004.47552,38203.390368,44976.571727999995,48546.28099199999,52067.4528,66187.44,80439.80208,108966.58871999999,184221.70799999998
8599.954703999998,19856.232,30865.409519999997,41049.450288,46432.695408,48634.530911999995,52949.952,66187.44,88249.92,110422.71239999999,161497.3536
7412.99328,18205.958496,25658.66424,34086.531599999995,43652.822927999994,46715.095151999994,50743.704,63098.6928,79424.928,104099.60563199999,153907.86047999997
9959.003472,22062.48,32665.707887999997,41962.83695999999,48537.456,50973.153792,54053.075999999994,69818.924208,90456.16799999999,123549.88799999999,172087.34399999998
7412.99328,16767.4848,29762.285519999998,39050.5896,45232.496496,48537.456,50831.95391999999,65349.06576,82213.625472,117601.84339199998,183162.70896
8599.954703999998,17649.984,27004.47552,39712.464,45514.896239999995,49861.2048,57583.0728,71773.659936,95654.088288,118307.84275199998,164586.1008
8895.591935999999,17950.033728,28637.09904,41159.762687999995,47888.819088,49861.2048,53391.20159999999,64863.691199999994,80439.80208,101487.408,164586.1008
10700.3028,19167.882623999998,29082.761135999997,39712.464,47888.819088,50743.704,57583.0728,74134.345296,92662.416,119812.50388799999,164444.900928
8886.766943999999,19167.882623999998,29669.623104,41720.149679999995,47037.20735999999,48537.456,51626.203199999996,65750.602896,81326.71377599999,117601.84339199998,179513.574768
8895.591935999999,16604.222448,25989.601439999995,34417.468799999995,44124.96,47888.819088,51004.041264,66187.44,81326.71377599999,118140.16790399999,164444.900928
8895.591935999999,17649.984,30746.272127999997,40021.33871999999,46331.208,48546.28099199999,52949.952,66187.44,80991.36408,113268.77231999999,184221.70799999998
8895.591935999999,22062.48,34095.356592,41049.450288,48144.743855999994,52949.952,60804.19487999999,71808.95990399999,81631.17599999999,113268.77231999999,152142.86208
9164.754192,17950.033728,29669.623104,39866.901359999996,47037.20735999999,48546.28099199999,52067.4528,66187.44,79424.928,110422.71239999999,164444.900928
7412.99328,23540.666159999997,34165.956528,41159.762687999995,47037.20735999999,49186.092912,52949.952,65349.06576,80991.36408,115122.02064,157049.55763199998
8886.766943999999,16767.4848,27004.47552,39866.901359999996,44786.8344,48546.28099199999,53391.20159999999,67003.75176,84552.24835199998,113935.05921599998,172087.34399999998
8599.954703999998,19856.232,30887.471999999998,41159.762687999995,46432.695408,50743.704,57583.0728,69818.924208,93544.91519999999,132374.88,184221.70799999998
8599.954703999998,17649.984,31108.096799999996,41962.83695999999,49861.2048,52949.952,61571.969183999994,73909.30799999999,94427.4144,119812.50388799999,172087.34399999998
8886.766943999999,17649.984,26474.976,34717.518528,41962.83695999999,46331.208,50973.153792,63098.6928,79791.16516799999,111194.89919999999,172087.34399999998
9116.216735999998,18205.958496,30887.471999999998,40594.9632,46331.208,48537.456,52949.952,66628.68959999998,84552.24835199998,115122.02064,164586.1008
9164.754192,22062.48,34095.356592,40153.713599999995,46600.370255999995,49393.480224,53347.07663999999,71808.95990399999,92229.99139199998,123549.88799999999,179513.574768
6177.4944,15020.136384,27004.47552,36226.59216,46331.208,48546.28099199999,53347.07663999999,66187.44,82844.61239999998,110422.71239999999,164586.1008
7412.99328,16079.135423999998,29669.623104,40594.9632,46432.695408,49186.092912,52067.4528,68040.68832,94427.4144,117601.84339199998,207056.3748
8895.591935999999,16767.4848,30746.272127999997,41159.762687999995,47037.20735999999,49393.480224,52994.07695999999,67003.75176,82844.61239999998,111194.89919999999,164444.900928
8599.954703999998,17244.034367999997,29082.761135999997,39346.22683199999,45889.958399999996,49393.480224,55835.724383999994,65750.602896,77218.68,111194.89919999999,153907.86047999997
9116.216735999998,24048.103199999998,30887.471999999998,39712.464,44786.8344,49186.092912,52949.952,64528.341503999996,82319.52537599999,110149.137648,164586.1008
8886.766943999999,18633.970608,29082.761135999997,39712.464,44124.96,50743.704,55928.3868,71041.18559999998,88249.92,111194.89919999999,164444.900928
9959.003472,18633.970608,29669.623104,39712.464,43366.010687999995,48537.456,52949.952,67987.73836799999,95654.088288,119137.39199999999,183573.071088
9116.216735999998,18205.958496,30887.471999999998,40153.713599999995,46715.095151999994,49186.092912,53347.07663999999,66187.44,81326.71377599999,113268.77231999999,172087.34399999998
9729.553679999999,16767.4848,29762.285519999998,39866.901359999996,46432.695408,48537.456,54053.075999999994,61995.5688,82844.61239999998,110422.71239999999,153554.8608
7412.99328,15567.285888,27004.47552,34717.518528,46600.370255999995,48634.530911999995,51626.203199999996,60848.31984,79791.16516799999,110422.71239999999,147580.34121599997
8895.591935999999,17950.033728,30865.409519999997,40665.563136,46432.695408,50743.704,55835.724383999994,67069.9392,82319.52537599999,108900.40127999998,152142.86208
8895.591935999999,17649.984,25989.601439999995,39050.5896,43723.42286399999,47037.20735999999,50743.704,64863.691199999994,77757.004512,103031.7816,172087.34399999998
8895.591935999999,19167.882623999998,30887.471999999998,41159.762687999995,48144.743855999994,51983.615375999994,55835.724383999994,71041.18559999998,84552.24835199998,101487.408,153907.86047999997
6923.206224,16079.135423999998,26033.7264,39103.539551999995,44124.96,48219.756288,51004.041264,66187.44,81631.17599999999,110422.71239999999,164444.900928
5736.2447999999995,17244.034367999997,25989.601439999995,36103.042272,43366.010687999995,47037.20735999999,52994.07695999999,66187.44,80439.80208,108966.58871999999,172087.34399999998
8886.766943999999,18633.970608,30931.596959999995,41720.149679999995,48537.456,53347.07663999999,61995.5688,74637.36983999998,88249.92,111194.89919999999,183573.071088
7205.605968,18633.970608,29669.623104,39712.464,46600.370255999995,48634.530911999995,58853.87164799999,71773.659936,88249.92,113935.05921599998,172087.34399999998
